Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
141,Kabutops,"Rock, Water","Shellfish Pokémon","1.3m (4′03″)","40.5kg (89.3lbs)","Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.","Swift Swim, Battle Armor, Weak Armor (hidden ability)","HP: 60; Attack: 115; Defense: 105; Sp. Atk: 65; Sp. Def: 70; Speed: 80; Total: 495","LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Night Slash, Type: Dark, Power: 70, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 15, Move: Aqua Jet, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 43, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 49, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 56, Move: Liquidation, Type: Water, Power: 85, Accuracy: 100; LVL: 63, Move: Metal Sound, Type: Steel, Power: —, Accuracy: 85; LVL: 70, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80; LVL: 1, Move: Absorb, Type: Grass, Power: 20, Accuracy: 100; LVL: 1, Move: Feint, Type: Normal, Power: 30, Accuracy: 100; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Night Slash, Type: Dark, Power: 70, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Scratch, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Slash, Type: Normal, Power: 70, Accuracy: 100; LVL: 15, Move: Aqua Jet, Type: Water, Power: 40, Accuracy: 100; LVL: 20, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Mud Shot, Type: Ground, Power: 55, Accuracy: 95; LVL: 30, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 35, Move: Brine, Type: Water, Power: 65, Accuracy: 100; LVL: 43, Move: Protect, Type: Normal, Power: —, Accuracy: —; LVL: 49, Move: Leech Life, Type: Bug, Power: 80, Accuracy: 100; LVL: 56, Move: Liquidation, Type: Water, Power: 85, Accuracy: 100; LVL: 63, Move: Metal Sound, Type: Steel, Power: —, Accuracy: 85; LVL: 70, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80"
142,Aerodactyl,"Rock, Flying","Fossil Pokémon","1.8m (5′11″)","59.0kg (130.1lbs)","A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated saw-like fangs.","Rock Head, Pressure, Unnerve (hidden ability)","HP: 80; Attack: 105; Defense: 65; Sp. Atk: 60; Sp. Def: 75; Speed: 130; Total: 515","LVL: 1, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 1, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 5, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 10, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 15, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 20, Move: Rock Slide, Type: Rock, Power: 75, Accuracy: 90; LVL: 25, Move: Roar, Type: Normal, Power: —, Accuracy: —; LVL: 30, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 35, Move: Iron Head, Type: Steel, Power: 80, Accuracy: 100; LVL: 40, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 45, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80; LVL: 50, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 55, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90; LVL: 60, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90; LVL: 1, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 1, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 5, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 10, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 15, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 20, Move: Rock Slide, Type: Rock, Power: 75, Accuracy: 90; LVL: 25, Move: Roar, Type: Normal, Power: —, Accuracy: —; LVL: 30, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 35, Move: Iron Head, Type: Steel, Power: 80, Accuracy: 100; LVL: 40, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 45, Move: Stone Edge, Type: Rock, Power: 100, Accuracy: 80; LVL: 50, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 55, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90; LVL: 60, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90"
143,Snorlax,"Normal","Sleeping Pokémon","2.1m (6′11″)","460.0kg (1014.1lbs)","Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.","Immunity, Thick Fat, Gluttony (hidden ability)","HP: 160; Attack: 110; Defense: 65; Sp. Atk: 65; Sp. Def: 110; Speed: 30; Total: 540","LVL: 1, Move: Block, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Covet, Type: Normal, Power: 60, Accuracy: 100; LVL: 1, Move: Defense Curl, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Flail, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Fling, Type: Dark, Power: —, Accuracy: 100; LVL: 1, Move: Last Resort, Type: Normal, Power: 140, Accuracy: 100; LVL: 1, Move: Lick, Type: Ghost, Power: 30, Accuracy: 100; LVL: 1, Move: Metronome, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Recycle, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 1, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 12, Move: Yawn, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 20, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 20, Move: Sleep Talk, Type: Normal, Power: —, Accuracy: —; LVL: 20, Move: Snore, Type: Normal, Power: 50, Accuracy: 100; LVL: 24, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 28, Move: Body Slam, Type: Normal, Power: 85, Accuracy: 100; LVL: 32, Move: Heavy Slam, Type: Steel, Power: —, Accuracy: 100; LVL: 36, Move: Amnesia, Type: Psychic, Power: —, Accuracy: —; LVL: 40, Move: High Horsepower, Type: Ground, Power: 95, Accuracy: 95; LVL: 44, Move: Hammer Arm, Type: Fighting, Power: 100, Accuracy: 90; LVL: 48, Move: Belly Drum, Type: Normal, Power: —, Accuracy: —; LVL: 52, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 56, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90; LVL: 1, Move: Rollout, Type: Rock, Power: 30, Accuracy: 90; LVL: 5, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 9, Move: Rest, Type: Psychic, Power: —, Accuracy: —; LVL: 15, Move: Bulldoze, Type: Ground, Power: 60, Accuracy: 100; LVL: 21, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 29, Move: Zen Headbutt, Type: Psychic, Power: 80, Accuracy: 90; LVL: 35, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 37, Move: High Horsepower, Type: Ground, Power: 95, Accuracy: 95; LVL: 46, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 57, Move: Giga Impact, Type: Normal, Power: 150, Accuracy: 90"
144,Articuno,"Ice, Flying","Freeze Pokémon","1.7m (5′07″)","55.4kg (122.1lbs)","A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.","Pressure, Snow Cloak (hidden ability)","HP: 90; Attack: 85; Defense: 100; Sp. Atk: 95; Sp. Def: 125; Speed: 85; Total: 580","LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Mist, Type: Ice, Power: —, Accuracy: —; LVL: 5, Move: Powder Snow, Type: Ice, Power: 40, Accuracy: 100; LVL: 10, Move: Reflect, Type: Psychic, Power: —, Accuracy: —; LVL: 15, Move: Ice Shard, Type: Ice, Power: 40, Accuracy: 100; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 30, Move: Tailwind, Type: Flying, Power: —, Accuracy: —; LVL: 35, Move: Freeze-Dry, Type: Ice, Power: 70, Accuracy: 100; LVL: 40, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 45, Move: Ice Beam, Type: Ice, Power: 90, Accuracy: 100; LVL: 50, Move: Hail, Type: Ice, Power: —, Accuracy: —; LVL: 55, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 60, Move: Mind Reader, Type: Normal, Power: —, Accuracy: —; LVL: 65, Move: Blizzard, Type: Ice, Power: 110, Accuracy: 70; LVL: 70, Move: Sheer Cold, Type: Ice, Power: —, Accuracy: 30"
145,Zapdos,"Electric, Flying","Electric Pokémon","1.6m (5′03″)","52.6kg (116.0lbs)","A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.","Pressure, Static (hidden ability)","HP: 90; Attack: 90; Defense: 85; Sp. Atk: 125; Sp. Def: 90; Speed: 100; Total: 580","LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 5, Move: Thunder Shock, Type: Electric, Power: 40, Accuracy: 100; LVL: 10, Move: Light Screen, Type: Psychic, Power: —, Accuracy: —; LVL: 15, Move: Pluck, Type: Flying, Power: 60, Accuracy: 100; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 30, Move: Charge, Type: Electric, Power: —, Accuracy: —; LVL: 35, Move: Drill Peck, Type: Flying, Power: 80, Accuracy: 100; LVL: 40, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 45, Move: Discharge, Type: Electric, Power: 80, Accuracy: 100; LVL: 50, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 55, Move: Thunder, Type: Electric, Power: 110, Accuracy: 70; LVL: 60, Move: Detect, Type: Fighting, Power: —, Accuracy: —; LVL: 65, Move: Magnetic Flux, Type: Electric, Power: —, Accuracy: —; LVL: 70, Move: Zap Cannon, Type: Electric, Power: 120, Accuracy: 50"
146,Moltres,"Fire, Flying","Flame Pokémon","2.0m (6′07″)","60.0kg (132.3lbs)","Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.","Pressure, Flame Body (hidden ability)","HP: 90; Attack: 100; Defense: 90; Sp. Atk: 125; Sp. Def: 85; Speed: 90; Total: 580","LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 5, Move: Ember, Type: Fire, Power: 40, Accuracy: 100; LVL: 10, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 15, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 30, Move: Incinerate, Type: Fire, Power: 60, Accuracy: 100; LVL: 35, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 40, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 45, Move: Heat Wave, Type: Fire, Power: 95, Accuracy: 90; LVL: 50, Move: Sunny Day, Type: Fire, Power: —, Accuracy: —; LVL: 55, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 60, Move: Endure, Type: Normal, Power: —, Accuracy: —; LVL: 65, Move: Burn Up, Type: Fire, Power: 130, Accuracy: 100; LVL: 70, Move: Sky Attack, Type: Flying, Power: 140, Accuracy: 90"
147,Dratini,"Dragon","Dragon Pokémon","1.8m (5′11″)","3.3kg (7.3lbs)","Long considered a mythical POKéMON until recently when a small colony was found living underwater.","Shed Skin, Marvel Scale (hidden ability)","HP: 41; Attack: 64; Defense: 45; Sp. Atk: 50; Sp. Def: 50; Speed: 50; Total: 300","LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 5, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 10, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 15, Move: Dragon Tail, Type: Dragon, Power: 60, Accuracy: 90; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 31, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 35, Move: Dragon Rush, Type: Dragon, Power: 100, Accuracy: 75; LVL: 40, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 45, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 50, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 55, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 60, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 5, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 10, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 15, Move: Dragon Tail, Type: Dragon, Power: 60, Accuracy: 90; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 31, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 35, Move: Dragon Rush, Type: Dragon, Power: 100, Accuracy: 75; LVL: 40, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 45, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 50, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 55, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 60, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90"
148,Dragonair,"Dragon","Dragon Pokémon","4.0m (13′01″)","16.5kg (36.4lbs)","A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.","Shed Skin, Marvel Scale (hidden ability)","HP: 61; Attack: 84; Defense: 65; Sp. Atk: 70; Sp. Def: 70; Speed: 70; Total: 420","LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 1, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 15, Move: Dragon Tail, Type: Dragon, Power: 60, Accuracy: 90; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 33, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 39, Move: Dragon Rush, Type: Dragon, Power: 100, Accuracy: 75; LVL: 46, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 53, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 60, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 67, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 74, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 1, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 15, Move: Dragon Tail, Type: Dragon, Power: 60, Accuracy: 90; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 33, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 39, Move: Dragon Rush, Type: Dragon, Power: 100, Accuracy: 75; LVL: 46, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 53, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 60, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 67, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 74, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90"
149,Dragonite,"Dragon, Flying","Dragon Pokémon","2.2m (7′03″)","210.0kg (463.0lbs)","An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.","Inner Focus, Multiscale (hidden ability)","HP: 91; Attack: 134; Defense: 95; Sp. Atk: 100; Sp. Def: 100; Speed: 80; Total: 600","LVL: 1, Move: Extreme Speed, Type: Normal, Power: 80, Accuracy: 100; LVL: 1, Move: Fire Punch, Type: Fire, Power: 75, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 1, Move: Thunder Punch, Type: Electric, Power: 75, Accuracy: 100; LVL: 1, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 1, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 1, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 15, Move: Dragon Tail, Type: Dragon, Power: 60, Accuracy: 90; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 33, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 39, Move: Dragon Rush, Type: Dragon, Power: 100, Accuracy: 75; LVL: 41, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 46, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 53, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 62, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 80, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90; LVL: 1, Move: Extreme Speed, Type: Normal, Power: 80, Accuracy: 100; LVL: 1, Move: Fire Punch, Type: Fire, Power: 75, Accuracy: 100; LVL: 1, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 1, Move: Thunder Punch, Type: Electric, Power: 75, Accuracy: 100; LVL: 1, Move: Thunder Wave, Type: Electric, Power: —, Accuracy: 90; LVL: 1, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 1, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 15, Move: Dragon Tail, Type: Dragon, Power: 60, Accuracy: 90; LVL: 20, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 25, Move: Slam, Type: Normal, Power: 80, Accuracy: 75; LVL: 33, Move: Aqua Tail, Type: Water, Power: 90, Accuracy: 90; LVL: 39, Move: Dragon Rush, Type: Dragon, Power: 100, Accuracy: 75; LVL: 41, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100; LVL: 46, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 53, Move: Rain Dance, Type: Water, Power: —, Accuracy: —; LVL: 62, Move: Dragon Dance, Type: Dragon, Power: —, Accuracy: —; LVL: 80, Move: Hyper Beam, Type: Normal, Power: 150, Accuracy: 90"
150,Mewtwo,"Psychic","Genetic Pokémon","2.0m (6′07″)","122.0kg (269.0lbs)","It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.","Pressure, Unnerve (hidden ability)","HP: 106; Attack: 110; Defense: 90; Sp. Atk: 154; Sp. Def: 90; Speed: 130; Total: 680","LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Life Dew, Type: Water, Power: —, Accuracy: —; LVL: 1, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 8, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 16, Move: Psycho Cut, Type: Psychic, Power: 70, Accuracy: 100; LVL: 24, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Amnesia, Type: Psychic, Power: —, Accuracy: —; LVL: 40, Move: Aura Sphere, Type: Fighting, Power: 80, Accuracy: ∞; LVL: 48, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 56, Move: Guard Swap, Type: Psychic, Power: —, Accuracy: —; LVL: 56, Move: Power Swap, Type: Psychic, Power: —, Accuracy: —; LVL: 64, Move: Mist, Type: Ice, Power: —, Accuracy: —; LVL: 72, Move: Psystrike, Type: Psychic, Power: 100, Accuracy: 100; LVL: 80, Move: Recover, Type: Normal, Power: —, Accuracy: —; LVL: 88, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100; LVL: 1, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 1, Move: Disable, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Laser Focus, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Life Dew, Type: Water, Power: —, Accuracy: —; LVL: 1, Move: Swift, Type: Normal, Power: 60, Accuracy: ∞; LVL: 8, Move: Ancient Power, Type: Rock, Power: 60, Accuracy: 100; LVL: 16, Move: Psycho Cut, Type: Psychic, Power: 70, Accuracy: 100; LVL: 24, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Amnesia, Type: Psychic, Power: —, Accuracy: —; LVL: 40, Move: Aura Sphere, Type: Fighting, Power: 80, Accuracy: ∞; LVL: 48, Move: Psychic, Type: Psychic, Power: 90, Accuracy: 100; LVL: 56, Move: Guard Swap, Type: Psychic, Power: —, Accuracy: —; LVL: 56, Move: Power Swap, Type: Psychic, Power: —, Accuracy: —; LVL: 64, Move: Mist, Type: Ice, Power: —, Accuracy: —; LVL: 72, Move: Psystrike, Type: Psychic, Power: 100, Accuracy: 100; LVL: 80, Move: Recover, Type: Normal, Power: —, Accuracy: —; LVL: 88, Move: Future Sight, Type: Psychic, Power: 120, Accuracy: 100"
